V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,support_inequality1,support_inequality2,support_inequality3,support_inequality4,support_inequality5,lvl1,lvl2,lvl3,lvl4,growth1,growth2,growth3,growth4,fix1,fix2,fix3,fix4,fix5,fix6,fix7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,redist1,redist2,redist3,redist4,govresp,eq.desire,govresp2,competent,confident,independent,competitive,intelligent,tolerant,warm,goodnatured,sincere,wg1,wg2,wg3,wg4,wg5,emp1,emp2,emp3,emp4,emp5,emp6,pt1,pt2,pt3,free_will1,free_will2,free_will3,free_will4,free_will5,Q26,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,oc1,oc2,oc3,oc4,oc5,oc6,oc7,oc8,oc9,oc10,oc11,oc12,oc13,oc14,oc15,gender,age,ethnicity,income,ideology,soc.iss,econ.iss,partyID,debrief
R_bph0YfyZEtwuaqN,Default Response Set,Anonymous,,,24.184.254.97,0,17-07-25 11:36,17-07-25 11:39,1,1,5,6,7,5,7,7,6,6,5,6,4,5,4,3,6,5,5,5,6,7,4,5,3,5,4,5,4,4,3,5,5,4,4,3,5,4,5,5,4,2,3,4,8,9,5,4,5,5,5,4,5,4,5,4,6,6,7,5,4,5,3,4,4,5,1,4,3,5,6,7,7,5,6,1,1,2,2,1,2,1,1,1,1,2,2,1,1,7,6,5,3,4,1,2,3,2,1,4,2,3,5,4,1,34,american,7,4,4,4,1,1
R_5nbAOHecOhsxwJn,Default Response Set,Anonymous,,,158.222.251.177,0,17-07-25 11:36,17-07-25 11:39,1,1,4,5,2,3,3,3,4,5,2,4,6,2,3,4,2,3,5,4,5,6,3,2,2,1,3,3,4,2,1,2,3,3,2,4,3,3,4,2,2,1,2,3,6,7,4,3,1,2,2,3,4,2,3,3,5,6,2,4,3,2,1,2,3,3,5,2,2,3,4,3,5,4,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,3,5,2,3,4,3,5,4,4,3,2,2,5,1,23,Black,4,3,3,2,1,1
R_28ZDfWgsQmQmWwt,Default Response Set,Anonymous,,,47.152.251.26,0,17-07-25 11:34,17-07-25 11:39,1,1,5,5,5,2,4,3,4,5,6,4,3,5,6,2,4,6,5,3,4,3,3,3,3,2,3,3,3,2,3,2,2,4,2,3,4,4,3,5,3,2,2,3,3,7,4,2,3,4,3,4,4,2,4,4,3,4,2,5,3,3,2,2,3,3,2,2,2,2,4,4,3,4,6,1,1,1,2,2,1,1,1,1,2,2,2,2,2,3,4,4,5,6,6,6,6,5,5,4,3,3,3,3,2,27,WHITE,5,5,8,4,2,1
R_83djHjCYhgCgxVz,Default Response Set,Anonymous,,,104.174.223.0,0,17-07-25 11:35,17-07-25 11:39,1,1,6,6,6,2,2,2,2,6,6,4,6,2,6,2,3,3,3,4,3,5,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,1,4,4,3,3,9,2,4,4,5,5,4,5,5,5,5,5,2,2,2,2,6,4,2,2,4,3,3,1,1,1,6,6,6,6,6,1,1,1,1,1,2,1,2,1,2,2,1,1,2,3,2,2,1,2,3,4,3,3,2,2,2,2,1,2,1,28,Asian,3,4,4,4,2,1
R_d4IBaTNpaErUhi5,Default Response Set,Anonymous,,,68.191.158.84,0,17-07-25 11:36,17-07-25 11:39,1,1,6,6,5,4,4,5,5,6,5,5,6,6,4,7,6,5,5,6,5,6,3,4,4,3,3,2,4,4,4,5,4,4,3,3,4,5,4,4,2,3,3,2,6,9,3,4,2,3,5,4,3,4,5,3,6,3,6,4,3,3,4,5,4,4,3,3,4,4,5,6,7,6,5,1,1,1,2,2,1,1,1,2,2,2,1,1,2,4,6,6,6,5,4,3,2,6,6,5,4,3,4,4,1,25,white,3,4,4,5,1,1
R_6zh6FYfVYl16sGV,Default Response Set,Anonymous,,,74.5.179.74,0,17-07-25 11:34,17-07-25 11:40,1,1,2,2,2,6,6,5,5,2,2,5,5,3,5,3,3,6,3,5,3,5,4,2,4,4,4,3,4,4,4,5,4,5,4,4,4,5,4,4,1,1,3,3,1,10,1,2,2,2,2,3,4,3,3,3,2,2,2,2,6,2,4,4,2,2,1,2,3,3,6,6,5,6,5,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,6,5,5,6,6,6,3,7,6,3,6,2,7,2,37,white,7,6,7,7,3,1
R_2lx8yQRUl9jhqi9,Default Response Set,Anonymous,,,27.59.0.158,0,17-07-25 11:34,17-07-25 11:40,1,1,2,2,6,2,2,4,3,5,6,3,6,5,5,4,2,2,5,6,4,6,4,3,4,3,4,4,3,2,2,4,4,3,2,2,4,4,3,3,3,3,3,3,9,8,4,4,4,4,4,4,3,4,4,4,2,5,5,5,2,4,3,4,2,2,2,4,2,4,5,6,5,4,5,1,2,2,1,1,1,1,1,2,2,2,2,2,1,4,2,5,3,2,2,4,5,5,5,4,4,6,5,4,1,34,asian,2,7,6,7,3,1
R_6J6tZKJPm8wxzW5,Default Response Set,Anonymous,,,174.63.83.0,0,17-07-25 11:35,17-07-25 11:40,1,1,7,7,7,1,1,1,1,5,7,2,7,1,7,1,1,7,5,3,1,7,3,4,4,1,5,5,4,3,4,5,4,5,5,4,1,4,5,5,4,4,3,3,8,1,5,4,1,3,4,3,3,4,4,4,3,4,2,5,6,2,4,5,1,1,1,1,3,1,6,5,2,1,6,1,1,1,1,1,2,1,2,1,1,2,1,1,2,3,5,6,2,3,5,7,6,5,4,4,2,6,1,7,2,33,white,1,1,1,1,1,1
R_1S6Y9XGmcRY1aT3,Default Response Set,Anonymous,,,205.185.147.59,0,17-07-25 11:34,17-07-25 11:40,1,1,5,5,7,4,5,4,5,2,3,5,4,5,5,5,6,6,5,3,2,3,3,3,4,3,2,4,4,3,1,4,5,4,4,2,4,4,4,2,3,2,3,3,7,7,4,3,4,4,3,2,4,3,3,2,4,2,6,6,4,3,2,2,2,2,3,4,3,4,3,5,3,4,5,1,2,1,2,2,2,1,2,2,2,1,1,2,2,5,5,5,4,3,5,6,6,4,4,3,4,5,6,5,2,28,white,4,6,6,6,2,1
R_268b1wjGe7K6QTz,Default Response Set,Anonymous,,,136.33.85.178,0,17-07-25 11:36,17-07-25 11:40,1,1,4,6,6,3,2,3,4,4,4,3,3,4,4,3,2,6,4,4,4,4,2,3,3,2,3,3,2,3,3,3,3,2,3,4,3,3,3,4,4,4,2,2,6,6,5,2,2,2,2,3,3,3,3,2,4,3,4,7,4,3,2,3,3,4,2,4,3,3,3,5,2,4,3,1,1,2,1,1,2,1,1,1,2,1,1,2,1,5,2,3,3,2,3,2,2,3,4,2,2,2,3,3,1,30,White,3,5,5,5,2,1
R_bqQBX3Czuiaoz9X,Default Response Set,Anonymous,,,75.136.192.180,0,17-07-25 11:36,17-07-25 11:40,1,1,4,4,5,5,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,4,5,4,3,3,4,3,4,4,3,3,3,3,3,4,4,5,5,5,5,5,4,4,5,5,4,4,4,4,4,3,3,3,2,2,3,3,3,3,5,7,4,4,6,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,33,white,5,7,7,7,3,1
R_79BF8iayRiYANBX,Default Response Set,Anonymous,,,104.3.176.117,0,17-07-25 11:36,17-07-25 11:40,1,1,7,6,6,2,2,2,2,6,6,2,6,6,6,2,4,4,2,2,2,6,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,9,1,5,3,3,3,3,3,3,3,3,3,4,4,4,4,5,2,4,4,2,2,2,4,4,4,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,7,1,25,white,3,2,2,2,1,1
R_8wu2Wg8igBLKdqR,Default Response Set,Anonymous,,,71.76.180.65,0,17-07-25 11:35,17-07-25 11:40,1,1,6,6,6,2,2,1,2,2,7,3,7,1,7,2,2,2,2,5,2,6,2,2,2,2,3,2,3,2,1,2,2,2,2,2,2,2,3,2,4,4,4,4,10,1,5,3,3,3,3,3,3,3,3,3,3,1,3,3,6,2,4,3,3,3,2,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,2,1,2,2,1,1,2,6,2,5,2,4,4,4,5,3,4,4,4,3,2,6,1,34,white,1,4,4,4,2,1
R_egkB8pbhmuIg3oV,Default Response Set,Anonymous,,,4.15.246.7,0,17-07-25 11:37,17-07-25 11:40,1,1,5,4,4,5,6,4,4,5,5,3,5,6,4,4,5,4,4,5,4,5,4,4,3,3,3,4,4,3,3,3,4,4,3,3,4,4,3,3,4,3,4,3,7,6,4,4,4,5,3,4,4,5,3,3,2,3,3,4,3,4,3,2,4,2,2,2,2,4,6,6,4,6,6,1,2,2,1,1,2,1,1,2,1,1,1,1,2,3,4,1,1,1,4,1,1,1,1,1,1,1,3,5,1,38,african-american,5,5,5,5,1,1
R_3aZytkQjVSvLFit,Default Response Set,Anonymous,,,70.181.45.84,0,17-07-25 11:34,17-07-25 11:40,1,1,5,6,6,2,2,3,2,5,6,4,6,2,6,3,5,3,3,4,3,5,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,1,4,2,2,1,1,2,2,2,1,3,3,2,4,3,5,2,4,5,2,2,1,4,4,3,6,6,7,6,5,1,1,2,1,2,1,2,1,1,1,2,1,2,2,2,1,4,1,4,5,1,4,1,1,3,5,4,1,6,1,29,Caucasian,7,4,4,4,2,1
R_8pNi9YrhhzQgLA1,Default Response Set,Anonymous,,,173.239.232.144,0,17-07-25 11:36,17-07-25 11:40,1,1,4,5,5,5,5,5,4,4,5,4,5,6,5,3,4,5,7,5,5,4,3,3,4,4,2,4,3,3,5,3,4,3,2,4,3,2,4,4,3,3,2,2,6,7,4,4,3,3,2,4,4,4,4,3,5,3,5,5,5,4,3,4,4,3,4,3,4,4,4,5,4,5,5,1,1,1,1,1,2,2,1,1,2,1,2,2,1,5,5,4,3,2,3,3,2,1,1,1,2,2,3,3,1,28,English,3,2,1,2,1,1
R_a4enI5B750lohsV,Default Response Set,Anonymous,,,151.202.179.195,0,17-07-25 11:35,17-07-25 11:41,1,1,6,6,7,2,1,4,2,6,7,5,6,4,4,2,2,5,2,4,2,3,4,4,4,4,4,4,4,4,2,4,4,3,4,4,4,5,5,5,4,4,4,4,6,5,4,2,3,2,3,3,3,3,3,3,3,3,3,3,5,2,4,4,3,1,1,4,4,4,5,6,2,2,5,1,1,2,2,2,1,1,1,1,1,2,1,1,1,7,1,7,7,7,7,7,7,7,1,7,7,5,1,6,1,19,Filipino,15,2,2,2,1,1
R_afrZTC7cuVerjN3,Default Response Set,Anonymous,,,52.119.107.179,0,17-07-25 11:39,17-07-25 11:41,1,1,4,4,4,3,5,4,5,3,4,4,4,5,4,5,4,3,5,4,4,4,3,2,4,2,2,4,3,2,3,3,2,3,2,3,4,3,3,4,3,2,2,3,6,5,3,4,3,4,4,3,2,3,3,4,5,4,4,3,4,3,2,3,3,4,3,3,2,3,3,5,4,3,4,1,1,2,1,1,2,2,1,1,2,2,2,1,1,3,4,5,4,4,5,3,5,5,3,5,5,4,4,4,1,23,asian,3,4,5,5,2,1
R_1N6EBxYN3bGUFpz,Default Response Set,Anonymous,,,24.147.249.248,0,17-07-25 11:35,17-07-25 11:41,1,1,6,7,6,2,2,2,1,6,6,5,5,2,4,2,2,5,3,3,2,6,2,2,3,2,3,3,2,1,2,3,2,2,3,3,1,4,3,4,4,3,3,2,5,4,4,3,1,2,3,3,4,3,3,4,2,2,5,6,6,2,4,4,2,2,1,3,2,2,5,6,3,5,4,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,3,1,5,6,6,6,1,1,2,1,4,1,6,2,25,Caucasian,3,2,2,2,1,1
R_9zeYGMj5uB1gAgR,Default Response Set,Anonymous,,,71.183.17.142,0,17-07-25 11:36,17-07-25 11:41,1,1,6,6,6,2,2,2,2,3,6,2,6,2,6,2,2,5,3,6,2,6,2,1,2,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,7,1,5,3,2,2,2,3,3,4,3,4,2,2,2,3,5,2,4,4,4,2,4,4,4,4,6,6,3,6,6,1,1,1,2,2,1,1,1,1,1,2,1,2,1,6,1,6,4,6,6,6,6,6,6,6,6,6,3,6,1,23,White,2,1,1,1,1,1
R_eR8hcgpiVRHA0Xr,Default Response Set,Anonymous,,,66.155.183.18,0,17-07-25 11:35,17-07-25 11:41,1,1,7,7,7,1,1,1,1,7,7,4,7,2,7,1,3,4,3,5,1,7,2,3,2,3,4,3,3,1,3,3,2,3,3,3,2,3,3,3,4,4,4,4,10,1,5,4,2,3,3,3,4,4,4,4,5,4,6,5,3,2,4,5,1,1,1,4,5,4,5,5,4,5,4,1,1,2,1,2,1,2,2,2,1,1,1,2,1,3,1,5,2,5,5,6,6,6,2,2,4,3,1,5,2,24,White,7,1,1,1,1,1
R_e98ve4XUXYPHLQF,Default Response Set,Anonymous,,,50.26.249.206,0,17-07-25 11:36,17-07-25 11:41,1,1,5,5,5,2,2,3,3,5,5,3,5,3,5,3,3,5,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,2,4,4,2,2,2,3,4,4,6,6,5,6,5,1,2,2,2,2,1,2,1,2,1,2,1,2,1,5,1,2,2,2,2,3,2,3,3,2,1,3,1,3,2,28,American,3,4,4,4,2,1
R_2hJvLC1fMOOVR0F,Default Response Set,Anonymous,,,205.246.28.144,0,17-07-25 11:37,17-07-25 11:41,1,1,6,6,7,2,2,2,2,6,7,5,7,2,7,1,1,3,1,5,1,7,2,1,1,3,4,5,2,2,3,4,4,4,4,4,4,4,3,3,4,4,3,3,7,3,5,4,2,3,2,5,5,5,4,4,2,3,2,5,6,2,4,5,1,1,1,4,4,3,6,6,3,5,5,1,2,2,1,2,1,1,1,2,1,2,1,1,2,7,2,3,2,4,6,6,5,6,6,5,4,4,5,5,1,27,White,6,2,1,2,1,1
R_7aLQfpF3emCaZCt,Default Response Set,Anonymous,,,68.81.42.79,0,17-07-25 11:35,17-07-25 11:41,1,1,6,7,6,2,1,2,1,6,6,2,6,2,6,2,2,5,2,6,2,7,4,4,4,2,2,4,4,2,2,2,4,4,4,2,4,4,4,4,4,4,4,4,10,1,4,4,4,4,4,4,4,4,4,4,6,5,5,5,2,2,4,4,1,2,2,4,4,4,5,6,2,5,6,1,2,1,1,2,1,2,2,2,1,1,1,1,1,5,1,2,1,1,3,5,4,2,3,4,3,4,1,5,2,58,white,14,2,2,2,2,1
R_aXJYaCBVO00dRhb,Default Response Set,Anonymous,,,98.204.21.136,0,17-07-25 11:37,17-07-25 11:41,1,1,7,7,7,1,1,1,1,7,7,5,7,1,1,3,3,3,3,5,3,7,4,4,3,3,4,4,4,3,3,4,3,3,4,3,3,4,4,4,4,4,4,4,10,1,5,4,3,3,2,4,4,4,4,4,3,3,3,3,6,2,4,4,2,2,2,4,4,4,5,5,5,5,5,1,2,2,2,2,1,2,1,2,1,2,2,2,2,5,1,1,2,5,5,5,5,1,5,5,5,4,1,1,2,32,caucasian,8,4,1,4,1,1
R_cC3lUwUTz1T1Nyd,Default Response Set,Anonymous,,,68.49.97.229,0,17-07-25 11:36,17-07-25 11:41,1,1,3,2,3,2,2,1,2,3,6,6,2,3,4,5,6,5,6,1,3,3,2,3,3,3,4,4,4,3,3,4,3,4,5,3,3,4,4,4,3,3,2,2,3,6,2,2,1,1,1,1,1,2,2,2,1,2,4,2,6,1,4,5,2,2,2,3,4,4,5,5,6,7,6,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,4,1,3,5,5,4,1,1,2,1,3,1,5,2,31,black,8,2,1,2,1,1
R_e58OxouPJwqYXWt,Default Response Set,Anonymous,,,208.87.235.180,0,17-07-25 11:39,17-07-25 11:41,1,1,4,6,5,6,4,4,5,5,4,3,5,3,4,5,6,5,3,5,4,5,4,3,3,4,3,4,3,2,3,3,4,4,3,2,3,3,4,3,3,2,3,3,8,6,4,2,2,4,2,4,4,3,3,3,5,5,4,4,5,3,4,4,2,3,4,3,4,4,3,4,4,2,3,1,1,1,1,2,2,1,1,2,2,2,1,1,2,4,6,5,4,6,6,4,5,4,3,5,4,4,5,4,2,25,white,3,6,4,5,3,1
R_2nTythh0sQZ4MM5,Default Response Set,Anonymous,,,45.16.2.23,0,17-07-25 11:39,17-07-25 11:41,1,1,5,5,6,6,5,5,6,6,5,6,4,5,5,6,5,5,6,5,6,5,4,3,3,4,4,3,4,4,4,3,3,4,4,4,3,4,3,4,3,2,3,2,7,8,4,4,4,4,4,3,4,3,4,3,5,6,4,6,5,4,3,4,3,3,3,4,3,4,6,5,5,5,4,1,2,2,1,2,1,1,1,2,1,1,2,1,1,5,4,5,6,4,5,6,4,3,5,6,3,4,4,4,1,33,Asian ,10,7,7,7,3,1
R_3DDplmHSsbR17Y9,Default Response Set,Anonymous,,,134.29.12.176,0,17-07-25 11:36,17-07-25 11:41,1,1,7,6,6,2,2,3,2,3,6,3,6,2,5,2,2,5,2,6,2,6,4,3,3,4,4,4,3,3,3,4,3,4,4,4,3,4,4,4,4,4,3,3,8,2,5,3,2,2,2,2,2,2,3,4,5,5,6,6,3,4,3,5,2,3,1,4,5,4,5,6,4,5,5,1,2,2,2,2,1,2,1,2,1,2,1,2,1,5,1,3,2,4,6,6,4,5,5,3,1,5,1,5,2,28,white,4,1,1,1,1,1
R_0kSCOtJEBYsS1UN,Default Response Set,Anonymous,,,136.61.69.96,0,17-07-25 11:36,17-07-25 11:41,1,1,5,6,5,2,2,2,2,6,6,2,5,2,6,2,3,2,2,3,2,6,4,3,2,2,2,4,2,2,2,2,2,2,2,4,2,4,2,4,4,4,4,4,8,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,2,4,5,1,1,1,4,4,3,3,3,2,2,2,1,2,2,1,2,1,1,1,2,1,2,2,2,2,7,2,5,2,5,6,6,7,2,2,5,6,4,2,7,2,44,White,1,2,2,2,2,1
R_8wRKvXCJEgDWQrr,Default Response Set,Anonymous,,,75.174.116.104,0,17-07-25 11:37,17-07-25 11:41,1,1,7,7,7,1,1,1,1,7,7,1,7,1,7,1,1,1,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,10,1,5,3,3,3,3,3,3,4,3,3,1,2,5,5,6,1,4,4,1,1,1,4,4,4,7,7,2,3,7,1,1,2,1,2,2,2,2,2,2,2,2,1,1,4,1,6,2,4,5,7,7,7,3,2,1,3,1,6,3,23,White,1,1,1,1,4,1
R_3dtcJ2xUnd9KOHz,Default Response Set,Anonymous,,,167.177.39.9,0,17-07-25 11:34,17-07-25 11:42,1,1,5,5,5,6,6,6,6,5,5,5,6,6,6,3,3,2,3,2,2,3,4,5,4,5,3,4,4,5,3,4,5,4,3,4,4,3,4,4,3,4,3,3,9,8,4,4,4,4,4,4,4,4,5,5,6,6,5,6,7,4,5,5,4,5,4,4,5,4,5,6,5,6,6,1,1,1,1,2,1,1,1,2,2,2,2,2,2,6,3,3,3,3,3,2,3,3,3,4,4,3,3,5,2,31,white,9,2,2,5,1,1
R_28ZZcdY8XBlRYwt,Default Response Set,Anonymous,,,107.223.159.77,0,17-07-25 11:37,17-07-25 11:42,1,1,7,7,7,1,1,1,1,7,7,7,7,1,7,7,1,7,5,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,10,1,5,4,4,1,1,3,2,3,5,2,1,1,1,1,6,3,4,4,5,4,3,1,1,1,7,7,3,3,3,1,2,1,2,1,2,1,2,2,2,1,1,1,2,4,1,6,1,1,7,6,6,1,5,6,5,6,1,7,2,25,african,2,2,1,1,1,1
R_egti8sYgxM4IRHT,Default Response Set,Anonymous,,,209.237.85.234,0,17-07-25 11:35,17-07-25 11:42,1,1,6,6,6,1,1,1,1,6,7,4,5,2,5,2,2,5,4,2,2,6,2,2,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,1,1,4,1,1,2,2,2,3,1,1,1,1,6,1,5,4,2,2,3,3,2,2,6,6,5,6,6,1,2,1,2,1,1,1,1,1,1,2,1,1,2,5,1,3,3,5,6,5,5,4,5,5,4,5,2,6,1,30,White,2,2,2,2,2,1
